object_type,type,rooms,level,kitchen_area,living_area,area,price_by_meter,price,material,published,updated,build_year,build_serias,build_type,max_levels,min_levels,rubbish_chute,enterances,build_overlap,build_walls,heating,gas,longitude,latitude,agencyName,areaRating,city,remoute_from_center,build_oldest
0,Квартира,1,19/32,20.0,15.0,42.0,1786.0,75000.0,Монолит,9/2/2022,9/2/2022,0,0,0,0,0,0,0,0,0,0,0,37.550244,55.774993,Владимир,4.127402,Москва,4.820727206078727,new
0,Многоквартирный дом,2,1/5,6.0,30.0,45.0,889.0,40000.0,Панель,8/2/2022,8/2/2022,1963,I-515,0,5,5,Нет,6,Железобетонные,Блочные,Центральное,Да,37.569539,55.654030000000006,АН Мегаполис-Сервис,3.9503021,Москва,11.308526619450049,old
0,Многоквартирный дом,3,9/12,11.0,44.0,67.0,970.0,65000.0,Панель,8/2/2022,9/2/2022,1976,II-68,0,12,12,Есть,5,Железобетонные,Панельные,Центральное,Нет,37.742039715226205,55.606742363641004,Ирина,3.7452233,Москва,18.04568531469616,old
0,Квартира,2,4/12,14.0,64.0,92.0,2717.0,250000.0,Монолит,7/2/2022,10/2/2022,0,0,0,0,0,0,0,0,0,0,0,37.568024981475794,55.78898199150021,МЕЗОН. НЕДВИЖИМОСТЬ.,3.7451114999999997,Москва,5.064897119879247,new
0,Многоквартирный дом,1,11/16,10.0,20.0,35.0,943.0,33000.0,Панель,9/2/2022,10/2/2022,1989,П-68,0,16,16,Есть,1,Железобетонные,Панельные,Центральное,Нет,37.592752000000004,55.879985,Сергей,3.7183936,Москва,14.296836769512256,old
0,Многоквартирный дом,3,6/12,9.0,40.0,65.0,1000.0,65000.0,Панель,9/2/2022,9/2/2022,1979,П-30,0,12,1,0,6,0,Не заполнено,0,Нет,37.461867,55.73284399999999,Ольга,3.9491657999999994,Москва,9.89110123515166,old
0,Многоквартирный дом,2,4/14,10.0,36.0,56.0,893.0,50000.0,Панель,11/4/2021,10/2/2022,1976,индивидуальный проект,0,14,14,Нет,9,Железобетонные,Кирпич,Нет,Нет,37.70567,55.801759,Агентство Недвижимости Novatek-M,3.9554419999999997,Москва,7.899067892208137,old
0,Квартира,1,6/12,8.0,18.0,38.0,789.0,30000.0,Панель,8/2/2022,10/2/2022,0,0,0,0,0,0,0,0,0,0,0,37.615111,55.892511,Елена,3.9125447,Москва,15.61982826380956,new
0,Многоквартирный дом,2,14/23,12.0,37.0,60.0,1083.0,65000.0,Панель,7/2/2022,10/2/2022,2007,П-3м,0,23,23,Есть,8,Железобетонные,Монолитные,Центральное,Нет,37.751492999999996,55.71658000000001,"""АСТ"" Недвижимость",3.4953578000000003,Москва,9.416219378691903,middle
0,Многоквартирный дом,1,4/5,7.0,18.0,32.0,2031.0,65000.0,Блоки,7/2/2022,10/2/2022,1961,I-515,0,5,5,Нет,3,Железобетонные,Кирпич,Центральное,Да,37.574,55.75914,АН Вертикаль,3.8417494,Москва,2.720745271162241,old
